model,assay,subset,mean,std
v0.3ring_base,A0A247D711_LISMN,all,0.13355840657511758,0.006724870383439978
v0.3ring_base,AICDA_HUMAN,all,0.06596166528864521,0.02532280784265246
v0.3ring_base,ARGR_ECOLI,all,0.3145090357980953,0.008278867531784678
v0.3ring_base,B2L11_HUMAN,all,0.2806789584283129,0.02309813501336294
v0.3ring_base,CCDB_ECOLI,all,0.1305473298863574,0.009893340402733996
v0.3ring_base,DLG4_RAT,all,0.26877814630630154,0.007784180970484814
v0.3ring_base,DN7A_SACS2,all,0.07599940424220489,0.003514978447630698
v0.3ring_base,ENVZ_ECOLI,all,-0.010973734473680745,0.006081756295721478
v0.3ring_base,ENV_HV1B9,all,0.2154968021806773,0.009654656447984215
v0.3ring_base,ERBB2_HUMAN,all,-0.10663100054482236,0.013918732688733969
v0.3ring_base,FKBP3_HUMAN,all,0.2468299521012821,0.006490316762055335
v0.3ring_base,HCP_LAMBD,all,0.2866172276933844,0.0076480331928961125
v0.3ring_base,IF1_ECOLI,all,0.1311076650909368,0.011366901724768569
v0.3ring_base,ILF3_HUMAN,all,0.14993295527125167,0.011657621900348485
v0.3ring_base,OTU7A_HUMAN,all,0.06910464721236875,0.0023189034149070234
v0.3ring_base,PKN1_HUMAN,all,0.10014012936246312,0.005528588858447043
v0.3ring_base,RS15_GEOSE,all,0.1142886157629332,0.0074169724640072016
v0.3ring_base,SBI_STAAM,all,0.3719685882199334,0.009890911632802635
v0.3ring_base,SCIN_STAAR,all,0.07069327142972101,0.005401888755742079
v0.3ring_base,SOX30_HUMAN,all,0.045505396177943566,0.0049185186308994345
v0.3ring_base,SQSTM_MOUSE,all,0.14208124790864565,0.012643719571411043
v0.3ring_base,SUMO1_HUMAN,all,0.22465097562390265,0.003425068622826561
v0.3ring_base,TAT_HV1BR,all,-0.07224496535560945,0.010297725073634004
v0.3ring_base,VG08_BPP22,all,-0.042514381073573033,0.011965470419398038
v0.3ring_base,VRPI_BPT7,all,0.2858357644784001,0.00916384717239844
v0.3ring_base,CP2,all,0.08158078878538844,0.035508110931126005
v0.3ring_base,CP2,naa,0.07100998758222045,0.04900854015555127
v0.3ring_base,CP2,ncaa,0.1514419247547268,0.028911296478492526
v0.3ring_base,PUMA,all,0.1926087338527028,0.009604771145878955
v0.3ring_base,PUMA,naa,0.1480080728747642,0.00485517306371153
v0.3ring_base,PUMA,ncaa,0.3016550890018402,0.022675101768096152
